departure city,long. departure (decimal),lat. departure (decimal),departure country,arrival city,long. departure (decimal),lat. departure (decimal),arrival country,number of routes,distance
New York,-73.632,41.066,United States,Frankfurt,8.905,50.044,Germany,7,6170
Frankfurt,8.905,50.044,Germany,New York,-73.632,41.066,United States,7,6170
Paris,2.916,49.021,France,Madrid,-3.278,40.822,Spain,7,1033
Montreal,-73.569,45.784,Canada,Paris,2.916,49.021,France,7,5516
SantiagoC,-70.644,-32.989,Chile,Buenos Aires,-58.227,-34.704,Argentina,7,1161
Luanda,13.385,-8.764,Angola,Kinshasa,15.74,-3.977,Congo (Kinshasa),7,592
Kinshasa,15.74,-3.977,Congo (Kinshasa),Douala,10.199,4.01,Cameroon,7,1080
Kinshasa,15.74,-3.977,Congo (Kinshasa),Brussels,4.807,51.502,Belgium,7,6255
Buenos Aires,-58.227,-34.704,Argentina,SantiagoC,-70.644,-32.989,Chile,7,1161
Douala,10.199,4.01,Cameroon,Kinshasa,15.74,-3.977,Congo (Kinshasa),7,1080
Conakry,-13.354,9.961,Guinea,Banjul,-16.421,13.563,Gambia,7,521
Paris,2.916,49.021,France,Montreal,-73.569,45.784,Canada,7,5516
Brussels,4.807,51.502,Belgium,Luanda,13.385,-8.764,Angola,7,6751
Brussels,4.807,51.502,Belgium,Kigali,30.232,-1.948,Rwanda,7,6409
Banjul,-16.421,13.563,Gambia,Conakry,-13.354,9.961,Guinea,7,521
Abidjan,-3.878,5.435,Cote d'Ivoire,Lome,1.424,6.276,Togo,7,593
Berlin,13.479,52.932,Germany,London,-0.103,51.795,United Kingdom,7,929
Paris,2.916,49.021,France,London,-0.103,51.795,United Kingdom,7,375
London,-0.103,51.795,United Kingdom,Berlin,13.479,52.932,Germany,7,929
London,-0.103,51.795,United Kingdom,Paris,2.916,49.021,France,7,375
Toronto,-79.385,44.128,Canada,Chicago,-87.842,42.631,United States,7,703
Toronto,-79.385,44.128,Canada,New York,-73.632,41.066,United States,7,580
Vancouver,-122.641,49.323,Canada,Los Angeles,-118.014,34.57,United States,7,1683
Montreal,-73.569,45.784,Canada,New York,-73.632,41.066,United States,7,524
Taipei,121.388,25.129,Taiwan,Los Angeles,-118.014,34.57,United States,7,10892
San Francisco,-121.959,38.031,United States,Tokyo,140.643,36.274,Japan,7,8181
SantiagoC,-70.644,-32.989,Chile,Lima,-76.524,-11.37,Peru,7,2477
Tokyo,140.643,36.274,Japan,New York,-73.632,41.066,United States,7,10732
Miami,-79.818,26.322,United States,London,-0.103,51.795,United Kingdom,7,7052
London,-0.103,51.795,United Kingdom,Montreal,-73.569,45.784,Canada,7,5191
London,-0.103,51.795,United Kingdom,Miami,-79.818,26.322,United States,7,7052
London,-0.103,51.795,United Kingdom,Houston,-94.903,30.64,United States,7,7688
London,-0.103,51.795,United Kingdom,Atlanta,-84.047,34.061,United States,7,6714
Los Angeles,-118.014,34.57,United States,Vancouver,-122.641,49.323,Canada,7,1683
