departure city,arrival city,number of routes,distance
Montevideo,Buenos Aires,6,259
Buenos Aires,Montevideo,6,259
Seoul,Cebu,6,3039
Cebu,Seoul,6,3039
Hong Kong,Chengdu,6,1361
Chengdu,Hong Kong,6,1361
Taipei,Osaka,6,1718
Singapore,Ho Chi Minh City,6,1120
Singapore,Perth,6,3930
Singapore,Penang,6,637
Ho Chi Minh City,Singapore,6,1120
Perth,Singapore,6,3930
Penang,Singapore,6,637
Osaka,Taipei,6,1718
Sharm El Sheikh,Manchester,5,4049
Manchester,Sharm El Sheikh,5,4049
Moscow,Odessa,5,1120
Odessa,Moscow,5,1120
Paris,Porto,5,1226
Porto,Paris,5,1226
San JoseC,Phoenix,5,3808
Phoenix,San JoseC,5,3808
Khartoum,Jeddah,5,954
Jeddah,Khartoum,5,954
Osh,Moscow,5,2998
Moscow,Osh,5,2998
Douala,Libreville,5,365
Milano,BarcelonaS,5,761
Madrid,Moscow,5,3436
Moscow,Madrid,5,3436
Moscow,BarcelonaS,5,3055
BarcelonaS,Milano,5,761
BarcelonaS,Moscow,5,3055
BarcelonaS,Amsterdam,5,1247
Amsterdam,BarcelonaS,5,1247
Tenerife,East Midlands,5,3084
London,Grenoble,5,803
Porto,Madrid,5,439
Madrid,Porto,5,439
London,Fuerteventura,5,2801
Grenoble,London,5,803
Fuerteventura,London,5,2801
East Midlands,Tenerife,5,3084
Malaga,Manchester,5,1839
Shanghai,Bangkok,5,2870
Bangkok,Shanghai,5,2870
Ko Samui,Singapore,5,1054
Singapore,Ko Samui,5,1054
Hanoi,Bangkok,5,968
Bangkok,Hanoi,5,968
Amman,Abu Dhabi,5,1980
Milano,Brussels,5,686
Brussels,Milano,5,686
Male,Colombo,5,800
Muscat,Dubai,5,330
Karachi,Dubai,5,1170
Dubai,Karachi,5,1170
Jeddah,Alexandria,5,1379
Alexandria,Jeddah,5,1379
Seattle,Seoul,5,8334
Porto Alegre,Montevideo,5,691
Los Angeles,Seoul,5,9560
New York,Seoul,5,11006
Seoul,Seattle,5,8334
Seoul,Los Angeles,5,9560
Seoul,New York,5,11006
Sydney,Wellington,5,2252
Perth,Denpasar,5,2596
Melbourne,Wellington,5,2595
Denpasar,Perth,5,2596
Dubai,Colombo,5,3318
Colombo,Dubai,5,3318
Kunming,Hong Kong,5,1197
Jeddah,Abu Dhabi,5,1639
Phuket,Hong Kong,5,2336
Hong Kong,Kunming,5,1197
Hong Kong,Phuket,5,2336
Hong Kong,Hanoi,5,853
Hanoi,Hong Kong,5,853
Abu Dhabi,Jeddah,5,1639
Seattle,Tokyo,5,7612
Monrovia,Brussels,5,5197
Yaounde,Kinshasa,5,1003
Tokyo,Seattle,5,7612
Tokyo,Agana,5,2541
Osaka,Agana,5,2530
Jeddah,Frankfurt,5,4077
Houston,Amsterdam,5,7986
Washington,Brussels,5,6172
Washington,Amsterdam,5,6160
Agana,Tokyo,5,2541
Agana,Osaka,5,2530
Frankfurt,Jeddah,5,4077
Newark,Amsterdam,5,5823
Doha,Frankfurt,5,4574
Brussels,Yaounde,5,5300
Brussels,Washington,5,6172
Bamako,Accra,5,1189
Amsterdam,Houston,5,7986
Amsterdam,Washington,5,6160
Amsterdam,Newark,5,5823
Accra,Bamako,5,1189
Abidjan,Monrovia,5,678
Tianjin,Hong Kong,5,1878
Qingdao,Seoul,5,563
Shanghai,Osaka,5,1277
Beijing,Dubai,5,5847
Tokyo,Dalian,5,1681
Osaka,Shanghai,5,1277
Seoul,Qingdao,5,563
Hong Kong,Tianjin,5,1878
Hong Kong,Chongqing,5,1131
Dubai,Beijing,5,5847
Dalian,Tokyo,5,1681
Chongqing,Hong Kong,5,1131
Busan,Tokyo,5,1004
Busan,Osaka,5,535
Tokyo,Busan,5,1004
Osaka,Busan,5,535
Taipei,Nagoya,5,1908
Taipei,Hong Kong,5,756
Taipei,Fukuoka,5,1335
Nagoya,Taipei,5,1908
Hong Kong,Taipei,5,756
Fukuoka,Taipei,5,1335
Dubai,Bahrain,5,469
Bahrain,Dubai,5,469
Zagreb,London,5,1330
Munich,Manchester,5,1128
Mombasa,Kilimanjaro,5,320
Manchester,Munich,5,1128
